"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 12 13:37:02 GMT 2024","Tue Nov 12 13:37:03 GMT 2024","119","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidId","Try get user by invalid id",""
"passed","Tue Nov 12 13:37:02 GMT 2024","Tue Nov 12 13:37:02 GMT 2024","79","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersById","Get user by id",""
"skipped","Tue Nov 12 13:37:02 GMT 2024","Tue Nov 12 13:37:02 GMT 2024","1","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidEmail","getUsersByInvalidEmail()","Not implemented test"
"passed","Tue Nov 12 13:37:02 GMT 2024","Tue Nov 12 13:37:02 GMT 2024","437","","api.tests.users.PutUserTest","","api.tests.users.PutUserTest","putInvalidUser","Try to update a user with invalid data",""
"passed","Tue Nov 12 13:37:03 GMT 2024","Tue Nov 12 13:37:03 GMT 2024","171","","api.tests.users.DeleteUserTest","","api.tests.users.DeleteUserTest","deleteUserSuccess","Delete user",""
"skipped","Tue Nov 12 13:37:02 GMT 2024","Tue Nov 12 13:37:02 GMT 2024","0","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidName","getUsersByInvalidName()",""
"passed","Tue Nov 12 13:37:03 GMT 2024","Tue Nov 12 13:37:03 GMT 2024","145","","api.tests.users.PostUserTest","","api.tests.users.PostUserTest","postUser","Create a new user",""
"passed","Tue Nov 12 13:37:03 GMT 2024","Tue Nov 12 13:37:03 GMT 2024","157","","api.tests.users.PostUserTest","","api.tests.users.PostUserTest","postDuplicatedEmail","Try to create a user with a duplicated email",""
"skipped","Tue Nov 12 13:37:02 GMT 2024","Tue Nov 12 13:37:02 GMT 2024","0","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByInvalidAdmin","getUsersByInvalidAdmin()",""
"passed","Tue Nov 12 13:37:02 GMT 2024","Tue Nov 12 13:37:02 GMT 2024","88","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUserByName","Get user by name",""
"passed","Tue Nov 12 13:37:03 GMT 2024","Tue Nov 12 13:37:03 GMT 2024","147","","api.tests.users.DeleteUserTest","","api.tests.users.DeleteUserTest","deleteInvalidUser","Try to delete an invalid user",""
"passed","Tue Nov 12 13:37:02 GMT 2024","Tue Nov 12 13:37:02 GMT 2024","193","","api.tests.users.PutUserTest","","api.tests.users.PutUserTest","putUser","Update user",""
"passed","Tue Nov 12 13:37:02 GMT 2024","Tue Nov 12 13:37:02 GMT 2024","338","","api.tests.users.GetUsersTest","","api.tests.users.GetUsersTest","getUsersByEmail","Get user by email",""
